improvement,smallest,submodular
66.87069502634044,69.91362534949492,66.79082319423574
65.59923368649459,66.74608737659695,65.57515641931612
66.82591280826222,68.34203266094681,66.57638311825522
66.06161755844343,67.51887428421031,66.18805429978138
66.6683260698601,69.58486066177208,66.4862851732241
66.76756047268911,69.44793157821698,66.40095912727476
67.11674624457775,69.07014879624111,67.23761981282048
66.87223098052324,68.31158290204064,66.78037980205353
66.37956281083655,67.83590969316717,66.03735271687495
67.0606559789018,68.21107058685357,66.98291424758685
